s,ADC 0,ADC 1
-0.0406,0.004476,0.004203
-0.0404,0.004323,0.004285
-0.0402,0.004292,0.004361
-0.04,0.004412,0.004177
-0.0398,0.004342,0.004292
-0.0396,0.0044,0.004094
-0.0394,0.00447,0.004349
-0.0392,0.004393,0.004018
-0.039,0.004629,0.004005
-0.0388,0.004501,0.004082
-0.0386,0.004597,0.004196
-0.0384,0.004279,0.003935
-0.0382,0.004431,0.00405
-0.038,0.004635,0.004228
-0.0378,0.004476,0.004158
-0.0376,0.004285,0.004209
-0.0374,0.004635,0.004304
-0.0372,0.004393,0.004152
-0.037,0.004209,0.00419
-0.0368,0.004311,0.004133
-0.0366,0.004241,0.004114
-0.0364,0.004196,0.004203
-0.0362,0.004501,0.004075
-0.036,0.004527,0.004139
-0.0358,0.004279,0.004101
-0.0356,0.004527,0.004114
-0.0354,0.004393,0.004133
-0.0352,0.004457,0.004107
-0.035,0.004285,0.004082
-0.0348,0.004495,0.004222
-0.0346,0.004387,0.004101
-0.0344,0.004463,0.004317
-0.0342,0.004368,0.004107
-0.034,0.004565,0.004171
-0.0338,0.004495,0.004272
-0.0336,0.004419,0.004114
-0.0334,0.004622,0.004158
-0.0332,0.00445,0.004094
-0.033,0.004368,0.004094
-0.0328,0.00433,0.004183
-0.0326,0.00447,0.004183
-0.0324,0.004495,0.004012
-0.0322,0.004622,0.004171
-0.032,0.004565,0.004298
-0.0318,0.00445,0.003967
-0.0316,0.00447,0.004342
-0.0314,0.004152,0.004241
-0.0312,0.004419,0.004082
-0.031,0.004609,0.004253
-0.0308,0.004368,0.004101
-0.0306,0.004336,0.004203
-0.0304,0.004552,0.004431
-0.0302,0.004361,0.004215
-0.03,0.004641,0.004082
-0.0298,0.004381,0.004044
-0.0296,0.004425,0.004203
-0.0294,0.004412,0.004164
-0.0292,0.004489,0.004133
-0.029,0.004355,0.004196
-0.0288,0.004565,0.00412
-0.0286,0.004514,0.004145
-0.0284,0.004323,0.004088
-0.0282,0.004228,0.004031
-0.028,0.004317,0.004044
-0.0278,0.004508,0.003955
-0.0276,0.004603,0.00412
-0.0274,0.004323,0.004063
-0.0272,0.004546,0.004183
-0.027,0.004266,0.004094
-0.0268,0.004292,0.004139
-0.0266,0.004368,0.004044
-0.0264,0.00452,0.004126
-0.0262,0.004482,0.004063
-0.026,0.0044,0.004292
-0.0258,0.0044,0.004183
-0.0256,0.004476,0.004215
-0.0254,0.00445,0.004228
-0.0252,0.004349,0.004044
-0.025,0.004508,0.004266
-0.0248,0.004368,0.004025
-0.0246,0.004508,0.004304
-0.0244,0.004457,0.004247
-0.0242,0.004482,0.004164
-0.024,0.004438,0.004031
-0.0238,0.004565,0.004152
-0.0236,0.004412,0.004234
-0.0234,0.004349,0.004222
-0.0232,0.004514,0.004088
-0.023,0.004444,0.00412
-0.0228,0.004412,0.004215
-0.0226,0.004476,0.003904
-0.0224,0.004234,0.004037
-0.0222,0.004495,0.00419
-0.022,0.004381,0.00412
-0.0218,0.004533,0.00419
-0.0216,0.004368,0.003935
-0.0214,0.004349,0.004241
-0.0212,0.004597,0.00426
-0.021,0.004578,0.004012
-0.0208,0.004368,0.003986
-0.0206,0.004584,0.00398
-0.0204,0.004425,0.00405
-0.0202,0.004419,0.004158
-0.02,0.004285,0.004203
-0.0198,0.00447,0.004133
-0.0196,0.004412,0.00412
-0.0194,0.00433,0.004101
-0.0192,0.004368,0.004171
-0.019,0.00452,0.004158
-0.0188,0.004444,0.004285
-0.0186,0.004463,0.004069
-0.0184,0.004406,0.004171
-0.0182,0.004323,0.003916
-0.018,0.004514,0.004158
-0.0178,0.004565,0.004044
-0.0176,0.004686,0.004247
-0.0174,0.004419,0.004025
-0.0172,0.004304,0.00398
-0.017,0.004272,0.004133
-0.0168,0.004609,0.004253
-0.0166,0.004495,0.003935
-0.0164,0.004457,0.004139
-0.0162,0.004393,0.004234
-0.016,0.004342,0.004266
-0.0158,0.004425,0.004298
-0.0156,0.004482,0.004247
-0.0154,0.004355,0.004018
-0.0152,0.004559,0.004196
-0.015,0.004323,0.004228
-0.0148,0.00445,0.004094
-0.0146,0.004272,0.004209
-0.0144,0.004552,0.004005
-0.0142,0.004501,0.004228
-0.014,0.004641,0.004025
-0.0138,0.004381,0.004177
-0.0136,0.0044,0.004336
-0.0134,0.004438,0.004228
-0.0132,0.004228,0.004114
-0.013,0.004368,0.004107
-0.0128,0.004476,0.004018
-0.0126,0.004374,0.004183
-0.0124,0.004222,0.004088
-0.0122,0.004304,0.00419
