"s"	"ADC 0"	"ADC 1"
-0.04100000	0.004393	0.004190
-0.04080000	0.004215	0.004088
-0.04060000	0.004476	0.004203
-0.04040000	0.004323	0.004285
-0.04020000	0.004292	0.004361
-0.04000000	0.004412	0.004177
-0.03980000	0.004342	0.004292
-0.03960000	0.004400	0.004094
-0.03940000	0.004470	0.004349
-0.03920000	0.004393	0.004018
-0.03900000	0.004629	0.004005
-0.03880000	0.004501	0.004082
-0.03860000	0.004597	0.004196
-0.03840000	0.004279	0.003935
-0.03820000	0.004431	0.004050
-0.03800000	0.004635	0.004228
-0.03780000	0.004476	0.004158
-0.03760000	0.004285	0.004209
-0.03740000	0.004635	0.004304
-0.03720000	0.004393	0.004152
-0.03700000	0.004209	0.004190
-0.03680000	0.004311	0.004133
-0.03660000	0.004241	0.004114
-0.03640000	0.004196	0.004203
-0.03620000	0.004501	0.004075
-0.03600000	0.004527	0.004139
-0.03580000	0.004279	0.004101
-0.03560000	0.004527	0.004114
-0.03540000	0.004393	0.004133
-0.03520000	0.004457	0.004107
-0.03500000	0.004285	0.004082
-0.03480000	0.004495	0.004222
-0.03460000	0.004387	0.004101
-0.03440000	0.004463	0.004317
-0.03420000	0.004368	0.004107
-0.03400000	0.004565	0.004171
-0.03380000	0.004495	0.004272
-0.03360000	0.004419	0.004114
-0.03340000	0.004622	0.004158
-0.03320000	0.004450	0.004094
-0.03300000	0.004368	0.004094
-0.03280000	0.004330	0.004183
-0.03260000	0.004470	0.004183
-0.03240000	0.004495	0.004012
-0.03220000	0.004622	0.004171
-0.03200000	0.004565	0.004298
-0.03180000	0.004450	0.003967
-0.03160000	0.004470	0.004342
-0.03140000	0.004152	0.004241
-0.03120000	0.004419	0.004082
-0.03100000	0.004609	0.004253
-0.03080000	0.004368	0.004101
-0.03060000	0.004336	0.004203
-0.03040000	0.004552	0.004431
-0.03020000	0.004361	0.004215
-0.03000000	0.004641	0.004082
-0.02980000	0.004381	0.004044
-0.02960000	0.004425	0.004203
-0.02940000	0.004412	0.004164
-0.02920000	0.004489	0.004133
-0.02900000	0.004355	0.004196
-0.02880000	0.004565	0.004120
-0.02860000	0.004514	0.004145
-0.02840000	0.004323	0.004088
