time,Node01.ax,Node01.ay,Node01.az,Node01.mx,Node01.my,Node01.mz,Node01.gx,Node01.gy,Node01.gz,Node02.ax,Node02.ay,Node02.az,Node02.mx,Node02.my,Node02.mz,Node02.gx,Node02.gy,Node02.gz
0.5,0.943312,-0.097299,0.181715,42.024605,-6.463882,16.236929,-0.2023,-0.157175,-0.158827,0.934391,-0.137437,0.143642,45.232239,1.594291,-2.296174,0.404627,0.048123,-0.13614
0.51,0.94312,-0.096177,0.18511,42.024605,-6.463882,16.236929,-0.481466,-0.156992,-0.089353,0.935137,-0.135147,0.143449,45.232239,1.594291,-2.296174,0.526755,0.10922,-0.014423
0.52,0.94312,-0.094867,0.186808,41.65744,-6.12644,16.236929,-0.342941,-0.29623,0.049814,0.936816,-0.134193,0.142483,45.157589,1.677214,-2.686404,0.465697,0.292469,0.168538
0.53,0.942929,-0.095803,0.18794,41.65744,-6.12644,16.236929,0.143857,-0.226628,0.050486,0.937748,-0.136292,0.141132,45.157589,1.677214,-2.686404,0.342638,0.231711,0.168835
0.54,0.942163,-0.096925,0.186997,41.877739,-6.295161,16.009985,0.700368,-0.157025,0.190159,0.938867,-0.138964,0.140166,45.232239,1.84306,-2.296174,0.158097,0.293005,0.108287
0.55,0.942354,-0.098609,0.185676,41.877739,-6.295161,16.009985,1.18702,-0.226699,0.538272,0.938308,-0.139345,0.140939,45.232239,1.84306,-2.296174,-0.088306,0.110393,-0.013372
0.56,0.943503,-0.099545,0.183601,41.877739,-6.379522,16.161282,1.325552,-0.296079,0.607871,0.937375,-0.139536,0.143449,45.381538,1.84306,-2.452266,-0.3347,-0.07232,-0.196405
0.57,0.943886,-0.099919,0.18096,41.877739,-6.379522,16.161282,1.116408,-0.226623,0.398955,0.93495,-0.139345,0.146152,45.381538,1.84306,-2.452266,-0.275438,-0.255033,-0.196376
0.58,0.94312,-0.099732,0.178885,42.098034,-6.463882,15.707394,0.8377,-0.087307,0.189788,0.933272,-0.138582,0.148469,45.381538,1.760137,-2.608358,-0.032607,-0.255015,-0.257587
0.59,0.942737,-0.099919,0.176811,42.098034,-6.463882,15.707394,0.350299,-0.086825,0.050439,0.932712,-0.13801,0.14789,45.381538,1.760137,-2.608358,0.211367,-0.193922,-0.257951
0.6,0.942354,-0.099732,0.176999,42.024605,-6.2108,15.631746,0.071595,-0.225473,0.050474,0.934018,-0.137246,0.146924,45.082939,1.594291,-2.218128,0.273042,-0.193904,-0.014408
0.61,0.943503,-0.099545,0.179074,42.024605,-6.2108,15.631746,-0.067686,-0.22499,0.189513,0.935137,-0.137437,0.144801,45.082939,1.594291,-2.218128,0.091185,-0.193887,-0.014901
0.62,0.943503,-0.098609,0.181149,41.877739,-6.379522,15.783042,-0.346241,-0.224955,0.050543,0.935696,-0.137055,0.142483,45.082939,1.760137,-2.530312,0.153482,-0.011235,-0.01513
0.63,0.943886,-0.097486,0.182281,41.877739,-6.379522,15.783042,-0.485665,-0.363901,0.050954,0.937935,-0.137246,0.139973,45.082939,1.760137,-2.530312,0.154546,0.110441,-0.014967
0.64,0.943503,-0.096551,0.183979,42.024605,-6.463882,16.161282,-0.555088,-0.502848,-0.018327,0.938681,-0.137819,0.138043,45.157589,1.84306,-2.686404,0.337659,0.293095,0.106887
0.65,0.943886,-0.097486,0.184544,42.024605,-6.463882,16.161282,-0.415961,-0.363683,0.051271,0.938121,-0.137819,0.13727,45.157589,1.84306,-2.686404,0.215014,0.232137,0.106659
